path,label
C:\Users\Dhairya Hindoriya\OneDrive\Desktop\SER\Dataset\anger\anger001.wav,0
C:\Users\Dhairya Hindoriya\OneDrive\Desktop\SER\Dataset\anger\anger002.wav,0
C:\Users\Dhairya Hindoriya\OneDrive\Desktop\SER\Dataset\anger\anger003.wav,0
C:\Users\Dhairya Hindoriya\OneDrive\Desktop\SER\Dataset\anger\anger004.wav,0
C:\Users\Dhairya Hindoriya\OneDrive\Desktop\SER\Dataset\anger\anger005.wav,0
C:\Users\Dhairya Hindoriya\OneDrive\Desktop\SER\Dataset\anger\anger006.wav,0
C:\Users\Dhairya Hindoriya\OneDrive\Desktop\SER\Dataset\anger\anger007.wav,0
C:\Users\Dhairya Hindoriya\OneDrive\Desktop\SER\Dataset\anger\anger008.wav,0
C:\Users\Dhairya Hindoriya\OneDrive\Desktop\SER\Dataset\anger\anger009.wav,0
C:\Users\Dhairya Hindoriya\OneDrive\Desktop\SER\Dataset\anger\anger010.wav,0
C:\Users\Dhairya Hindoriya\OneDrive\Desktop\SER\Dataset\anger\anger011.wav,0
C:\Users\Dhairya Hindoriya\OneDrive\Desktop\SER\Dataset\anger\anger012.wav,0
C:\Users\Dhairya Hindoriya\OneDrive\Desktop\SER\Dataset\anger\anger013.wav,0
C:\Users\Dhairya Hindoriya\OneDrive\Desktop\SER\Dataset\anger\anger014.wav,0
C:\Users\Dhairya Hindoriya\OneDrive\Desktop\SER\Dataset\anger\anger015.wav,0
C:\Users\Dhairya Hindoriya\OneDrive\Desktop\SER\Dataset\anger\anger016.wav,0
C:\Users\Dhairya Hindoriya\OneDrive\Desktop\SER\Dataset\anger\anger017.wav,0
C:\Users\Dhairya Hindoriya\OneDrive\Desktop\SER\Dataset\anger\anger018.wav,0
C:\Users\Dhairya Hindoriya\OneDrive\Desktop\SER\Dataset\anger\anger019.wav,0
C:\Users\Dhairya Hindoriya\OneDrive\Desktop\SER\Dataset\anger\anger020.wav,0
C:\Users\Dhairya Hindoriya\OneDrive\Desktop\SER\Dataset\anger\anger021.wav,0
C:\Users\Dhairya Hindoriya\OneDrive\Desktop\SER\Dataset\anger\anger022.wav,0
C:\Users\Dhairya Hindoriya\OneDrive\Desktop\SER\Dataset\anger\anger023.wav,0
C:\Users\Dhairya Hindoriya\OneDrive\Desktop\SER\Dataset\anger\anger024.wav,0
C:\Users\Dhairya Hindoriya\OneDrive\Desktop\SER\Dataset\anger\anger025.wav,0
C:\Users\Dhairya Hindoriya\OneDrive\Desktop\SER\Dataset\anger\anger026.wav,0
C:\Users\Dhairya Hindoriya\OneDrive\Desktop\SER\Dataset\anger\anger027.wav,0
C:\Users\Dhairya Hindoriya\OneDrive\Desktop\SER\Dataset\anger\anger028.wav,0
C:\Users\Dhairya Hindoriya\OneDrive\Desktop\SER\Dataset\anger\anger029.wav,0
C:\Users\Dhairya Hindoriya\OneDrive\Desktop\SER\Dataset\anger\anger030.wav,0
C:\Users\Dhairya Hindoriya\OneDrive\Desktop\SER\Dataset\anger\anger031.wav,0
C:\Users\Dhairya Hindoriya\OneDrive\Desktop\SER\Dataset\anger\anger032.wav,0
C:\Users\Dhairya Hindoriya\OneDrive\Desktop\SER\Dataset\anger\anger033.wav,0
C:\Users\Dhairya Hindoriya\OneDrive\Desktop\SER\Dataset\anger\anger034.wav,0
C:\Users\Dhairya Hindoriya\OneDrive\Desktop\SER\Dataset\anger\anger035.wav,0
C:\Users\Dhairya Hindoriya\OneDrive\Desktop\SER\Dataset\anger\anger036.wav,0
C:\Users\Dhairya Hindoriya\OneDrive\Desktop\SER\Dataset\anger\anger037.wav,0
C:\Users\Dhairya Hindoriya\OneDrive\Desktop\SER\Dataset\anger\anger038.wav,0
C:\Users\Dhairya Hindoriya\OneDrive\Desktop\SER\Dataset\anger\anger039.wav,0
C:\Users\Dhairya Hindoriya\OneDrive\Desktop\SER\Dataset\anger\anger040.wav,0
